Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions


317	Idea Book	IsB3	Ideas Book No.3 (3053)	1965	78	17.5 x 17.5 x 0.5
317	Idea Book	200	Idea Book 200	1985	155	? x ? x ?
317	Idea Book	221	Idea Book 1 (97710)	1973	205	21 x 29.7 x 0.3
317	Idea Book	222	Idea Book 222 (98105)	1975	246	21 x 30 x 0.3
317	Idea Book	226	Idea Book 226	1981	262	21.2 x 29.8 x 0.4
317	Idea Book	IsB1	Idea Book 1	1960	87	24 x 16 x 0.3
317	Idea Book	239	Idea Book 239	1966	782	29.8 x 21.6 x 1.7
317	Idea Book	240	Idea Book 240 (3170)	1967	85	13.8 x 13.8 x 0.5
317	Idea Book	250	Idea Book 250	1987	146	21 x 29.7 x 0.3
317	Idea Book	260	Idea Book 260	1990	159	? x ? x ?
317	Idea Book	697	Idea Book 697	1997	126	30 x 21 x 0.5
317	Idea Book	6000	Idea Book 6000, Legoland	1980	272.82	21.1 x 29.7 x 0.4
576	Curriculum Activity Book / Educational & Dacta	0064	Idea Box	1993	?	? x ? x ?
317	Idea Book / Train	7777	Idea Book 7777, Trains	1981	264	? x ? x ?
317	Idea Book / Technic	8888	Idea Book 8888, Technic	1980	315	21.2 x 29.3 x 0.4
317	Idea Book / Technic	8889	Idea Book 8889, Technic	1984	312	? x ? x ?
317	Idea Book / Technic	8890	Idea Book 8890, Technic	1988	152	21 x 29.5 x 0.4
317	Idea Book / Technic	8891	Idea Book 8891, Technic	1991	282	29.6 x 21 x 0.5
317	Idea Book / Creator	4007	Brick Tricks: Fantastic Fliers	2000	374	21 x 19 x 1.7
317	Idea Book	225	Building Ideas Book No. 2	1977	179	21 x 29.5 x 0.2
331	Comic Book / Space	5909	Space Comic - The Unknown Galaxy (Jim Spaceborn)	1986	?	? x ? x ?
505	Story Book / Fabuland	5900	Fabuland - Set of FABULAND Books	1986	?	? x ? x ?
505	Story Book / Fabuland	5901uk	Fabuland - Max & Edward All At Sea	1986	295	26.7 x 20.7 x 0.9
505	Story Book / Fabuland	5902uk	Fabuland - The Missing Fireworks	1986	292	26.7 x 20.7 x 0.9
317	Idea Book	5907en	Let's Build and Play - with your Bricks (Hardcover)	1986	339	? x ? x ?
317	Idea Book	5908	Abracadabra - with your Bricks (Hardcover)	1986	324	26.6 x 20.6 x 0.8
332	Informational Book	204	The World of LEGO Toys	1987	768	21.5 x 28 x 1.4
332	Informational Book	205	The World of LEGO Toys (Hardcover)	1987	1125	? x ? x ?
576	Curriculum Activity Book / Educational & Dacta / Technic	9620	Gears (9610) Teacher Guide	1993	42	? x ? x ?
576	Curriculum Activity Book / Educational & Dacta / Technic	9622	Levers (9612) Teacher Guide	1993	41	? x ? x ?
576	Curriculum Activity Book / Educational & Dacta / DUPLO	9661	Early Simple Machines Teacher's Guide	1995	?	? x ? x ?
576	Curriculum Activity Book / Educational & Dacta / DUPLO	9662	Fun Time Gear (Gears) Teacher Guide	1995	?	? x ? x ?
576	Curriculum Activity Book / Educational & Dacta / Technic	9663	Mechanical Toy Shop Teacher Guide	1995	?	? x ? x ?
