Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)


371	1996	c96eu	1996 Medium European (4.103.778/4.103.779-EU)	1996	27
372	1997	c97na	1997 Medium North America (4.108.465/4.108.466 NA)	1997	32
373	1998	c98na	1998 Medium North America (4112635/4112636-NA)	1998	33
371	1996	c96na	1996 Medium North America (4.105.611/4.105.612-NA)	1996	27
370	1995	c95na	1995 Medium North America (4.100.006/4.100.007-NA)	1995	29
374	1999	c99am	1999 Medium Americas (4112683/4112684-AM)	1999	32
375	2000	c00am	2000 Medium Americas (4130207/4130208-AM)	2000	31.8
377	2001	c01am	2001 Medium Americas (4130269/4130270-AM)	2001	31
375	2000 / Technic	c00amt	2000 Medium Technic Americas (4130209/4130210/4130211-AM)	2000	10.64
375	2000 / Star Wars	c00desw	2000 Medium Star Wars German (4323318-D)	2000	19.2
374	1999 / Technic	c99amt	1999 Medium Technic Americas (4112685/4112686/4112687-AM)	1999	10.8
373	1998 / Service Packs	s98eu	1998 Medium Service  Packs European (4112611)	1998	8.55
373	1998 / Technic	c98int	1998 Medium Technic International (4112609/4112610-IN)	1998	16
373	1998	c98blx2	1998 Large Benelux (926.100-BLX (dutch)) #2	1998	114
373	1998	c98blx1	1998 Large Benelux (926.100-BLX (dutch)) #1	1998	?
373	1998	c98ru	1998 Large Russian (926.100 SNG)	1998	102
373	1998	c98uk2	1998 Large UK - Insectoids Cover	1998	117
373	1998	c98in	1998 Medium International (4112603/4112604-IN)	1998	25
372	1997 / Technic	c97eut	1997 Medium Technic European (4.108.480/4.108.481-EU)	1997	18
372	1997 / FreeStyle	c97na3	1997 Medium FreeStyle North America (4108463/4108464-NA)	1997	9
372	1997 / Service Packs	s97eu	1997 Medium Service Packs European (4.108.531)	1997	11
372	1997	c97blx2	1997 Large Benelux (925.375-BEN.fl)	1997	51
372	1997	c97eu	1997 Medium European (4108478/4108479-EU)	1997	25
372	1997 / Service Packs	s97nz	1997 Medium Service Packs New Zealand	1997	?
371	1996 / Technic	c96eut	1996 Medium Technic European (4.103.782/4.103.783-EU)	1996	15
371	1996 / Service Packs	s96eu	1996 Medium Service Packs European (4.103.784)	1996	8.54
371	1996	c96nl	1996 Large Dutch (924.714-NL)	1996	98
371	1996	c96uk	1996 Large UK	1996	61
370	1995 / Technic	c95eut	1995 Medium Technic European (4.100.028/4.100.029-EU)	1995	18
370	1995	c95nl	1995 Large Dutch (923.963-NL)	1995	114
370	1995 / Service Packs	s95eu	1995 Medium Service Packs European (4.100.031)	1995	9.8
369	1994	c94eu	1994 Medium European (990583/990683-EU)	1994	29
369	1994 / Technic	c94ust	1994 Medium Technic US (995917/996017-US)	1994	9
369	1994	c94nl	1994 Large Dutch (923321-NL)	1994	102
368	1993	c93nl2	1993 Medium Dutch (922712-NL)	1993	?
368	1993 / Train	m93ustr	1993 Mini Train US (114417-US)	1993	4.6
368	1993	c93de	1993 Large German (Mit Teilnahmeschein für die 10. Deutsche LEGO Meisterschaft - 922710-D)	1993	108
367	1992	c92nl	1992 Large Dutch (922038-NL)	1992	98
367	1992	c92us	1992 Medium US (102917/103017-US)	1992	29
