Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions


398	Human Furniture / Educational & Dacta	0011	Laminate Playtable Cover (Large Laminate Table Cover/Laminated Table Cover)	?	?	? x ? x ?
398	Human Furniture / Educational & Dacta	0920	Flip-Top Playtable Red DUPLO/Gray LEGO Top	?	?	68.6 x 68.6 x 50.8
398	Human Furniture / Educational & Dacta	0921	Flip-top Playtable Green DUPLO/Gray LEGO Top	?	?	68.6 x 68.6 x 50.8
398	Human Furniture / Educational & Dacta	9805	Duplo Play Wall (2nd Release)	1999	5650	? x ? x ?
398	Human Furniture / Educational & Dacta	9806	Playtable, 4 chairs, and 92 Duplo bricks	?	?	? x ? x ?
398	Human Furniture / Educational & Dacta	9807	Legehus og Legebord (LEGO House)	?	?	? x ? x ?
712	Video Game / Creator	5700	Creator - PC CD-ROM	1998	550	22.2 x 26.3 x 5.3
712	Video Game / Train	5701	Loco - PC CD-ROM	1998	90	? x ? x ?
712	Video Game	5702	Chess - PC CD-ROM	1998	?	? x ? x ?
712	Video Game / Racers	5703	Racers - Nintendo 64	1999	?	? x ? x ?
712	Video Game / Racers	5704	Racers - PC CD-ROM	1999	?	? x ? x ?
712	Video Game / Racers	5705	Racers - Sony PlayStation	1999	?	? x ? x ?
712	Video Game	5706	LEGOLAND - PC CD-ROM	2000	?	? x ? x ?
712	Video Game	5707	Friends PC CD-ROM	1999	90	? x ? x ?
712	Video Game / Rock Raiders	5708	Rock Raiders - PC CD-ROM	1999	122.4	? x ? x ?
712	Video Game / Rock Raiders	5709	Rock Raiders - Sony PlayStation	1999	?	? x ? x ?
712	Video Game	5712-GEAR	Stunt Rally - PC CD-ROM	2000	?	? x ? x ?
712	Video Game / Alpha Team	5714	Alpha Team - PC CD-ROM	2000	?	? x ? x ?
712	Video Game	5715	My World - First Steps	2000	?	? x ? x ?
712	Video Game	5716	My World - School Skills	2000	?	? x ? x ?
712	Video Game / Racers	5719	Racers - Nintendo Game Boy Color	2000	?	? x ? x ?
712	Video Game / Creator	5720	Creator Masterpiece	2000	111	13.5 x 19.2 x 1.6
712	Video Game / Train	5721	Loco Masterpiece - PC CD-ROM	2000	?	? x ? x ?
712	Video Game	5722	Chess Masterpiece	2000	?	? x ? x ?
712	Video Game / Creator / Castle / Knights Kingdom I	5723	Creator: Knights' Kingdom - PC CD-ROM	2000	?	? x ? x ?
712	Video Game	5724	Stunt Rally - Nintendo Game Boy Color	2001	?	? x ? x ?
712	Video Game / Alpha Team	5725-GEAR	Alpha Team - Nintendo Game Boy Color	2001	?	? x ? x ?
180	Software / MINDSTORMS / RCX	3805-1	Robotics Invention System 2.0 Upgrade Kit	2002	?	? x ? x ?
712	Video Game	5730	Island 2: The Brickster's Revenge - Nintendo Game Boy Color	2001	?	? x ? x ?
712	Video Game	5774	Island 2: The Brickster's Revenge - PC CD-ROM	2001	471	22.2 x 26.3 x 5.3
712	Video Game	5775	Island 2: The Brickster's Revenge - Sony PlayStation	2001	?	? x ? x ?
712	Video Game	5777-GEAR	Island 2: The Brickster's Revenge - Nintendo Game Boy Advance	2001	?	? x ? x ?
