Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions


179	Racers / Drome Racers	8470-1	Slammer G-Force	2002	?	? x ? x ?
36	Technic / RoboRiders	1292-1	Frost Flyer	2000	?	? x ? x ?
277	LEGOLAND / Fire	691-1	Rescue Helicopter	1974	?	20 x 6.5 x 4
277	LEGOLAND / Space	367-1	Moon Landing	1975	134	35.1 x 19.9 x 5
422	Universal Building Set / Basic Model	2121-1	Jack in the Box Promotional Set: Stomper polybag	1997	?	? x ? x ?
422	Universal Building Set / Basic Model	2164-1	Sabah Promotional Set: Whale polybag	1997	0.45	8.5 x 8 x 0
78	FreeStyle	3234-1	Fantasy Boat polybag	1998	?	17 x 16 x 1
395	Samsonite / Universal Building Set / Gears	001-1	Gears	1965	?	39.37 x 20.32 x 5.08
423	Classic / Supplemental	217-2	4 x 4 Corner Bricks	1958	41	? x ? x ?
423	Classic / HO 1:87 Vehicles	603-2	1:87 Citroën DS 19	1965	3	6.2 x 2.4 x 2.4
423	Classic / Town Plan	700.2-1	Gift Package (Lego Mursten)	1954	?	? x ? x ?
85	Homemaker	293-1	Piano	1973	30	12.4 x 9.9 x 4.9
167	DUPLO / Dino	2922-1	Dinosaur Blocks	1998	?	23.7 x 14.2 x 7
277	LEGOLAND / Vehicle / Food & Drink	645-2	Milk Float & Trailer	1971	24	15 x 6.5 x 4
395	Samsonite / Universal Building Set / Gears	003-1	Master Mechanic Set	1966	?	? x ? x ?
423	Classic / Basic Set	040-1	Basic Building Set in Cardboard	1964	?	39 x 20.2 x 5
395	Samsonite / Supplemental	048-1	49 assorted basic bricks - 25 yellow and 24 blue plus one red 10 x 10 stud base plate	1969	?	? x ? x ?
395	Samsonite / Supplemental	055-1	Trees and Bushes	1966	?	10 x 10 x 5
423	Classic / Supplemental	402-2	White Turntables	1964	8	? x ? x ?
423	Classic / Supplemental	453-2	1 x 6 x 2 Shuttered Windows, Red or White	1966	?	? x ? x ?
423	Classic / Supplemental	485-2	Lighting Brick (System)	1966	9	8.6 x 6.4 x 3.4
423	Classic / Supplemental	519-1	2 x 3 Plates (cardboard box version)	1962	?	9 x 6.5 x 3.6
166	Educational & Dacta / DUPLO / Mosaic	1019-1	Mosaic Set (Lion)	1985	108.95	24.6 x 11.7 x 5.2
63	Service Packs	1201-1	Hooks	1982	?	? x ? x ?
63	Service Packs / Technic	1228-1	Differential Gear Housing	1982	3	? x ? x ?
166	Educational & Dacta / Service Packs / Technic	1326-1	Large Cross Axles	1985	?	? x ? x ?
422	Universal Building Set / Basic	357-2	Basic Building Set	1987	?	52 x 29 x 7.5
78	FreeStyle	2146-1	FreeStyle with Storage Case	1996	?	59 x 43 x 11.5
166	Educational & Dacta / Technic	1038-1	Universal Buggy	1985	240	29 x 23 x 7.3
166	Educational & Dacta / Service Packs / Technic	1315-1	Piston Rods	1985	?	? x ? x ?
166	Educational & Dacta / Service Packs / Technic	1319-1	Large Gear Wheels	1985	3	14.5 x 20 x 1
294	Primo	2104-1	Wilma Whale	1999	?	? x ? x ?
63	Service Packs / Technic	1231-1	X-Large Tires and Hubs	1982	3	14.8 x 24.5 x 2.5
