Category ID	Category Name	Number	Name	Alternate Item Number	Weight (in Grams)	Dimensions


160	Sticker Sheet	sticker	Sticker (Unsorted, Generic Entry)		?	? x ? x ?
85	Homemaker	1	Homemaker Bookcase 2 x 4 x 4		5.8	2 x 4 x 4
1	Antenna	104	Antenna 6H - No Stud Holder	71185	0.5	? x ? x ?
76	Flag	30322	Flag on Antenna Whip		0.66	? x ? x ?
2	Baseplate	10p01	Baseplate 24 x 32 with Set 363/555 Dots Pattern		58.46	24 x 32 x 0
2	Baseplate	10p02	Baseplate 24 x 32 with Set 354/560 Dots Pattern		60.8	24 x 32 x 0
2	Baseplate	10p03	Baseplate 24 x 32 with Set 358 Dots Pattern		61	24 x 32 x 0
2	Baseplate	10p04	Baseplate 24 x 32 with Set 345 Dots Pattern		59	24 x 32 x 0
2	Baseplate	10p05	Baseplate 24 x 32 with Set 351/545 Dots Pattern		59	24 x 32 x 0
43	Wheel	122c01	Plate, Modified 2 x 2 with Red Wheels		1.86	? x ? x ?
43	Wheel	122c02	Plate, Modified 2 x 2 with White Wheels		1.86	? x ? x ?
111	Wheel, Tire & Tread	132old	Tire Smooth - Small Solid	 	2	? x ? x ?
98	Road Sign	14	Road Sign Round		0.95	? x ? x ?
1116	Minifigure, Legs, Modified	15	Legs without Split		1	? x ? x ?
150	Minifigure, Torso	17	Torso Legoland		0.87	? x ? x ?
18	Minifigure, Utensil	194	Minifigure, Utensil Hose Nozzle Simple	4210	0.12	? x ? x ?
85	Homemaker	2	Homemaker Cupboard 4 x 4 x 4		10.14	4 x 4 x 4
36	Technic	200	Technic Rack Winder Axle		?	? x ? x ?
36	Technic	202	Technic Rack Winder		5.47	2 x 4 x 2
115	Windscreen	21	Windscreen 2 x 4 x 1 2/3		2.14	2 x 4 x 1.67
76	Flag	2335	Flag 2 x 2 Square	11055,60779	0.62	? x ? x ?
738	Flag, Decorated	2335p01	Flag 2 x 2 Square with Diver Blue Pattern on Both Sides		0.5	? x ? x ?
738	Flag, Decorated	2335p02	Flag 2 x 2 Square with Diver Stripe Pattern		0.5	? x ? x ?
738	Flag, Decorated	2335p03	Flag 2 x 2 Square with Checkered Pattern on Both Sides, Black Corners (Printed)		0.5	? x ? x ?
738	Flag, Decorated	2335p04	Flag 2 x 2 Square with Imperial Soldier Black Symbol over White Cross on Blue Background Pattern on Both Sides		0.5	2 x 2 x 0
738	Flag, Decorated	2335p43	Flag 2 x 2 Square with Black Falcon Shield Bottom Round Pattern		0.5	2 x 2 x 0
738	Flag, Decorated	2335p44	Flag 2 x 2 Square with Wolfpack Pattern		0.5	2 x 2 x 0
479	Cockpit	2336	Cockpit Space Nose		3.66	6 x 2 x 2
479	Cockpit	2336p68	Cockpit Space Nose with M:Tron Logo Pattern		3.66	6 x 2 x 2
479	Cockpit	2336p90	Cockpit Space Nose with Classic Space Logo Pattern		3.66	6 x 2 x 2
115	Windscreen	2337	Windscreen 4 x 4 x 2 Canopy Extender with Hinges		4.22	4 x 4 x 2
6	Arch	2339u	Arch 1 x 5 x 4 (Undetermined Type)	76768u	2.1	1 x 5 x 4
106	Tail	2340	Tail 4 x 1 x 3		1.64	4 x 1 x 3
