Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To

0	(Not Applicable)		N/A	6138	15410	92980	16010	1954	2026
41	Aqua	BCE5DC	Solid	82	60	1177	147	1998	2006
11	Black	2E2E2E	Solid	14992	14760	20216	15326	1957	2026
7	Blue	196BCF	Solid	4602	9582	8189	5161	1950	2026
174	Blue Violet	5d67b4	Solid	105	44	392	110	2026	2026
36	Bright Green	2BD043	Solid	1121	2942	2810	1217	1950	2026
105	Bright Light Blue	B5D6FF	Solid	726	984	2044	795	2004	2026
110	Bright Light Orange	FDBF0E	Solid	1693	2582	3355	1807	2003	2026
103	Bright Light Yellow	FCEB82	Solid	756	1432	2319	834	2004	2026
104	Bright Pink	FCB1DB	Solid	927	1951	2162	1027	2003	2026
8	Brown	70462E	Solid	579	1101	3600	974	1974	2006
227	Clikits Lavender	E0AAD9	Solid	10	12	426	15	2005	2005
220	Coral	FF765C	Solid	336	618	1039	346	2019	2026
153	Dark Azure	38AEEB	Solid	1099	1598	2316	1181	2011	2026
63	Dark Blue	234065	Solid	3013	2955	5271	3088	1961	2026
85	Dark Bluish Gray	7D7C78	Solid	4716	8342	8715	5284	1991	2026
120	Dark Brown	50372F	Solid	957	2404	3124	1047	2007	2026
10	Dark Gray	848375	Solid	1050	1705	3991	1508	1961	2006
80	Dark Green	30533B	Solid	1190	1646	3363	1302	1961	2026
225	Dark Nougat	CE7942	Solid	3	10	855	48	2001	2004
242	Dark Olive Green	76753F	Solid	1	2	268	7	2000	2001
68	Dark Orange	AC5112	Solid	1062	2578	2750	1148	1994	2026
47	Dark Pink	EF5BB3	Solid	1040	1821	2015	1128	1994	2026
89	Dark Purple	7045BA	Solid	1303	1708	2704	1409	2000	2026
59	Dark Red	83211F	Solid	2164	2502	4329	2241	1957	2026
109	Dark Royal Blue	2032B0	Solid	8	6	758	22	2004	2006
231	Dark Salmon	FF6326	Solid	5	4	185	7	2003	2003
69	Dark Tan	A98F6A	Solid	1497	3423	3506	1567	1961	2026
39	Dark Turquoise	0BABA8	Solid	1004	1443	2078	1094	1998	2026
161	Dark Yellow	DD982E	Solid	5	5	605	17	2004	2005
29	Earth Orange	E6881D	Solid	44	85	922	58	1982	2005
106	Fabuland Brown	B3694E	Solid	7	26	1059	12	1979	1991
248	Fabuland Lime	ADD237	Solid	9	5	321	10	1982	1986
160	Fabuland Orange	EF9121	Solid	2	3	419	3	1983	1987
6	Green	009D48	Solid	2398	6407	5294	2714	1949	2026
154	Lavender	D0B8ED	Solid	545	841	1287	593	2011	2026
171	Lemon	EDDC44	Solid	3	1	52	5	1992	1992
152	Light Aqua	C0F4E7	Solid	689	950	1432	724	2011	2026
62	Light Blue	C8D9E1	Solid	19	18	801	62	1950	2007
86	Light Bluish Gray	B9B9B9	Solid	5543	9074	9706	6261	1993	2026
91	Light Brown	99663E	Solid	42	31	1635	87	2002	2006
9	Light Gray	B8BAAE	Solid	1867	3207	5535	2503	1954	2007
38	Light Green	D7EED1	Solid	64	57	581	133	1992	2005
246	Light Lilac	CDCCEE	Solid	1	1	72	4	2004	2004
35	Light Lime	ECEEBD	Solid	18	16	456	41	1998	2007
90	Light Nougat	F7CFB4	Solid	2340	2277	3850	2335	2004	2026
32	Light Orange	FFBC36	Solid	18	18	502	66	1998	2004
93	Light Purple	AF3195	Solid	27	20	575	60	2003	2006
26	Light Salmon	FCC7B7	Solid	51	23	519	56	1997	2002
40	Light Turquoise	00C5BC	Solid	66	39	751	89	1998	2004
44	Light Violet	C9CAE2	Solid	69	38	325	86	1994	2002
33	Light Yellow	FEE891	Solid	104	71	1310	165	1994	2005
245	Lilac	7862CE	Solid	8	7	348	18	2004	2007
34	Lime	BEE13C	Solid	2134	3703	3445	2292	1998	2026
247	Little Robots Blue	5DBFE4	Solid	2	2	60	5	2003	2004
72	Maersk Blue	7DC1D8	Solid	86	14	780	109	1974	2011
71	Magenta	BA177E	Solid	773	1481	1725	850	2000	2026
156	Medium Azure	6FDCF3	Solid	1216	2417	2356	1317	2012	2026
